id,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev
94,12,80.0,0.2188,0.375,0.4062,24.5871,6.3342,6.2488,90.0,104.8473,90.0001,0.1982,1.4672
95,227,40.0,0.0,0.125,0.875,6.4641,6.4638,15.7989,89.9811,90.0195,119.9908,0.4037,0.3323
96,12,80.0,0.4062,0.25,0.3438,24.4087,6.2459,6.1464,89.9998,104.7501,90.0001,0.1942,1.8205
97,33,40.0,0.5625,0.0,0.4375,5.2334,8.9433,9.5725,90.0037,90.0005,90.0006,0.1963,2.1131
98,206,80.0,0.0,0.4688,0.5312,9.8747,9.8747,9.8746,90.0029,90.0025,89.9962,0.1404,1.1931
99,194,80.0,0.4375,0.5625,0.0,6.2421,6.2421,23.7696,90.0178,89.9991,120.0001,0.2239,2.6202
100,227,40.0,0.875,0.125,0.0,9.8046,5.6614,13.84,91.7885,91.7567,30.1664,0.1078,3.6851
101,194,80.0,0.0,0.6875,0.3125,6.6154,6.6152,24.5008,89.9952,90.0023,119.99,0.0789,1.4898
102,206,80.0,0.0625,0.0625,0.875,10.1533,10.1533,10.1535,90.0008,90.0008,89.9989,0.071,0.9724
103,227,40.0,0.0,0.9375,0.0625,10.3453,5.9103,14.7735,97.014,95.6274,30.0951,0.1279,1.5455
104,227,40.0,0.25,0.4375,0.3125,10.3702,6.0082,14.8015,91.0079,91.1711,30.3428,0.3264,0.7284
105,227,40.0,0.0625,0.625,0.3125,6.1377,6.1351,15.0644,90.0277,88.1847,120.008,0.3287,0.2022
106,33,80.0,0.7188,0.125,0.1562,10.0817,8.645,9.2743,90.0041,90.0019,90.001,0.1761,2.8878
107,227,40.0,0.75,0.125,0.125,9.6869,5.6757,14.3848,98.792,100.3198,31.4219,0.1297,2.6232
108,33,80.0,0.8438,0.0312,0.125,9.9886,8.5689,9.2001,90.0052,90.0021,90.0011,0.1729,3.3237
109,33,80.0,0.4688,0.3438,0.1875,10.2333,8.7709,9.3962,90.0019,90.0015,90.001,0.172,2.333
110,33,80.0,0.5625,0.0938,0.3438,10.3628,8.8646,9.493,90.0034,90.001,90.0007,0.2326,2.3111
111,167,30.0,0.5833,0.4167,0.0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,0.0492,3.9737
112,167,30.0,0.3333,0.5,0.1667,5.0636,5.0632,13.6462,89.9954,90.0055,120.0007,0.1935,2.559
113,12,80.0,0.25,0.5,0.25,24.5958,6.2379,6.082,89.9999,104.4479,90.0001,0.1178,1.8197
114,33,80.0,0.0625,0.0625,0.875,11.1858,9.5098,10.1346,90.0002,89.9965,90.0002,0.2233,0.8877
115,227,40.0,0.3125,0.3125,0.375,10.4529,6.0057,14.9115,96.9994,95.9948,30.237,0.3018,1.3247
116,33,40.0,0.25,0.1875,0.5625,5.3757,9.1728,9.7978,90.0011,89.9991,90.0003,0.2123,1.3646
117,167,30.0,0.0,0.75,0.25,5.1894,5.1888,13.9059,90.0005,89.9999,120.0001,0.1387,1.8257
118,194,80.0,0.2812,0.7188,0.0,6.2921,6.2921,23.8872,90.0133,90.0015,119.998,0.2053,2.3705
119,206,80.0,0.0,0.5625,0.4375,9.7916,9.7916,9.7914,90.0034,90.003,89.9955,0.1287,1.3821
120,194,80.0,0.0,0.6875,0.3125,6.6154,6.6152,24.5008,89.9952,90.0023,119.99,0.0808,1.4598
121,167,30.0,0.4167,0.5833,0.0,4.9566,4.9562,13.4178,89.9938,90.0075,120.0007,0.0772,3.382
122,167,30.0,0.5,0.1667,0.3333,5.1087,5.1084,13.7499,89.9929,90.0076,120.0013,0.239,2.5528
123,33,80.0,0.4375,0.2188,0.3438,10.4212,8.9145,9.5407,90.0022,90.0007,90.0007,0.226,1.9482
124,33,40.0,0.6875,0.0,0.3125,5.1348,8.7886,9.4187,90.0045,90.0013,90.0008,0.2334,2.5579
125,206,80.0,0.25,0.0,0.75,9.9639,9.9637,9.964,90.0006,90.001,89.9993,0.1644,1.27
126,206,80.0,0.0,0.1875,0.8125,10.1241,10.1241,10.1242,90.0013,90.0012,89.9981,0.0628,1.0008
127,206,80.0,0.0625,0.0312,0.9062,10.181,10.181,10.1813,90.0006,90.0007,89.9991,0.0678,0.9236
128,227,40.0,0.0,0.8125,0.1875,10.3504,5.9973,14.7837,91.0076,91.1726,30.3521,0.216,0.7305
129,167,30.0,0.5,0.1667,0.3333,5.1087,5.1084,13.7499,89.9929,90.0076,120.0013,0.2275,2.5166
130,227,40.0,0.9375,0.0625,0.0,5.7061,5.7056,13.619,90.0106,90.0012,120.0035,0.1349,2.1113
131,206,80.0,0.0625,0.0625,0.875,10.1533,10.1533,10.1535,90.0008,90.0008,89.9989,0.0806,0.9194
132,167,30.0,0.5,0.5,0.0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,0.0655,3.7204
133,227,40.0,0.75,0.0,0.25,5.9319,5.9307,14.4676,90.0846,88.4406,120.0513,0.4109,1.2482
134,33,80.0,0.5625,0.25,0.1875,10.1894,8.7335,9.3604,90.0028,90.0016,90.001,0.1641,2.5916
135,206,80.0,0.1562,0.8438,0.0,9.3382,9.3381,9.3376,90.0058,90.0051,89.9935,0.0785,2.6176
136,194,80.0,0.4062,0.5938,0.0,6.252,6.252,23.7931,90.0172,89.9994,119.9997,0.1622,2.5995
137,33,80.0,0.2812,0.0625,0.6562,10.8409,9.239,9.8654,90.0017,89.9986,90.0004,0.2371,1.2603
138,194,80.0,0.0,0.5,0.5,6.7535,6.7531,24.7421,89.9985,89.9968,119.988,0.0673,1.0984
139,227,40.0,0.625,0.0625,0.3125,5.9814,5.9811,14.5814,90.0278,89.988,120.0008,0.4874,1.3422
140,227,40.0,0.0625,0.625,0.3125,10.4498,6.0554,14.9233,91.069,91.2431,30.3593,0.2089,0.9927
141,194,80.0,0.3125,0.2188,0.4688,6.6284,6.6281,24.4665,90.013,90.0049,119.9915,0.4461,0.7928
142,206,80.0,0.4375,0.5625,0.0,9.2204,9.22,9.2199,90.0047,90.0046,89.9954,0.1075,3.1532
143,206,80.0,0.5938,0.4062,0.0,9.1549,9.1544,9.1544,90.004,90.0043,89.9965,0.1024,3.5805
144,167,30.0,0.3333,0.6667,0.0,4.9772,4.9768,13.4593,89.9952,90.0061,120.0005,0.0705,3.2342
145,206,80.0,0.4062,0.375,0.2188,9.4274,9.4271,9.4271,90.0032,90.0034,89.9967,0.1987,2.4129
146,12,80.0,0.5,0.4375,0.0625,24.3855,6.0618,5.8388,89.9996,104.016,90.0002,0.0809,2.7611
147,194,80.0,0.3438,0.0,0.6562,6.7573,6.7568,24.6844,90.0188,90.0056,119.9897,0.3714,0.7115
148,33,40.0,0.4375,0.5625,0.0,5.02,8.626,9.2491,90.0008,90.0022,90.0018,0.0558,2.9649
149,167,30.0,0.5833,0.1667,0.25,5.0449,5.0446,13.6149,89.9915,90.0092,120.0014,0.1921,3.0261
150,206,80.0,0.4688,0.5312,0.0,9.2073,9.2069,9.2068,90.0045,90.0046,89.9956,0.0987,3.2515
151,227,40.0,0.1875,0.5,0.3125,10.3967,6.0239,14.8421,91.0284,91.1952,30.3483,0.3496,0.1835
152,33,80.0,0.1562,0.3125,0.5312,10.7607,9.1839,9.8071,90.0,89.9991,90.0002,0.2403,1.1624
153,33,80.0,0.75,0.2188,0.0312,9.9285,8.5277,9.1563,90.0039,90.0023,90.0014,0.0828,3.5728
154,227,40.0,0.0,0.3125,0.6875,6.3524,6.3524,15.6071,89.9991,89.9945,120.0011,0.3168,0.4905
155,167,30.0,0.6667,0.0833,0.25,5.0243,5.024,13.5733,89.9901,90.0106,120.0015,0.2003,3.1384
156,206,80.0,0.0,0.625,0.375,9.7361,9.7362,9.7359,90.0038,90.0033,89.9951,0.1432,1.4149
157,194,80.0,0.5938,0.4062,0.0,6.1935,6.1934,23.6522,90.0189,89.998,120.0021,0.259,2.8805
158,194,80.0,0.75,0.0625,0.1875,6.2856,6.2852,23.7758,90.0123,90.0104,120.0003,0.412,2.3208
159,194,80.0,0.25,0.0,0.75,6.8564,6.8558,24.8757,90.0196,89.9997,119.9879,0.359,0.6341
160,227,40.0,0.8125,0.0,0.1875,9.751,5.6595,13.963,90.9688,91.1227,30.5186,0.2966,2.9351
161,227,40.0,0.25,0.75,0.0,10.093,5.8432,14.1094,90.7464,90.8646,30.2713,0.1212,1.9139
162,167,60.0,0.0,0.125,0.875,11.0269,5.5129,14.6067,89.9982,89.9993,120.0011,0.1115,1.0036
163,227,40.0,0.8125,0.0,0.1875,10.0065,5.7786,14.1615,93.257,93.0611,30.2331,0.3431,2.8047
164,206,80.0,0.3125,0.3125,0.375,9.6052,9.605,9.605,90.0026,90.0027,89.9971,0.2213,1.8225
165,12,80.0,0.3125,0.4375,0.25,24.5308,6.2201,6.0692,89.9998,104.4695,90.0001,0.1282,1.8055
166,194,80.0,0.2812,0.3438,0.375,6.5691,6.5688,24.3694,90.0106,90.0042,119.9924,0.2349,1.4018
167,33,80.0,0.2812,0.1875,0.5312,10.7022,9.1341,9.7594,90.0013,89.9994,90.0004,0.2475,1.4258
168,12,80.0,0.25,0.5,0.25,24.5958,6.2379,6.082,89.9999,104.4479,90.0001,0.1464,1.6955
169,167,30.0,0.4167,0.25,0.3333,5.1294,5.129,13.7915,89.9942,90.0063,120.0011,0.1733,2.5349
170,194,80.0,0.0,0.4688,0.5312,6.7765,6.7761,24.7824,89.9993,89.9958,119.9877,0.0167,1.2542
171,206,80.0,0.0625,0.9375,0.0,9.3775,9.3775,9.3769,90.0061,90.0053,89.9929,0.0771,2.3846
172,194,80.0,0.4375,0.5625,0.0,6.2421,6.2421,23.7696,90.0178,89.9991,120.0001,0.2315,2.6214
173,167,30.0,0.4167,0.3333,0.25,5.0862,5.0858,13.6981,89.9942,90.0065,120.001,0.1919,2.567
174,12,80.0,0.4375,0.2812,0.2812,24.3927,6.202,6.0758,89.9997,104.5965,90.0001,0.1479,1.8403
175,167,30.0,0.4167,0.3333,0.25,5.0862,5.0858,13.6981,89.9942,90.0065,120.001,0.1985,2.6453
176,194,80.0,0.375,0.375,0.25,6.4468,6.4466,24.138,90.0128,90.0049,119.9952,0.3193,1.2738
177,194,80.0,0.1562,0.125,0.7188,6.8634,6.8629,24.9061,90.0145,89.9956,119.9874,0.287,0.5409
178,12,80.0,0.2188,0.5,0.2812,24.62,6.2643,6.1204,90.0,104.5208,90.0001,0.1223,1.7242
179,194,80.0,0.375,0.0,0.625,6.7243,6.7238,24.6206,90.0185,90.0073,119.9903,0.3707,0.8764
180,12,20.0,0.375,0.375,0.25,12.2329,3.1012,6.0565,89.9998,104.4912,90.0001,0.1177,2.2708
181,33,80.0,0.5938,0.1875,0.2188,10.2095,8.7473,9.375,90.0032,90.0015,90.0009,0.1919,2.5224
182,12,80.0,0.0,0.0938,0.9062,24.6825,6.6763,6.808,90.0004,105.9639,90.0,0.1919,0.7821
183,33,80.0,0.625,0.1562,0.2188,10.1949,8.7348,9.3631,90.0035,90.0016,90.0009,0.2123,2.5317
184,206,80.0,0.0,0.5938,0.4062,9.7639,9.7639,9.7636,90.0036,90.0031,89.9953,0.1349,1.3917
185,33,80.0,0.25,0.1875,0.5625,10.7515,9.1728,9.7978,90.0011,89.9991,90.0003,0.2615,1.3238
186,12,80.0,0.375,0.2812,0.3438,24.4411,6.2548,6.1527,89.9998,104.7393,90.0001,0.1052,1.9601
187,227,40.0,0.5625,0.125,0.3125,6.002,6.0012,14.3698,90.0068,89.9959,119.9994,0.4327,0.6236
188,167,30.0,0.6667,0.3333,0.0,4.8947,4.8944,13.293,89.9894,90.0117,120.0012,0.0428,4.2811
189,206,80.0,0.1875,0.2188,0.5938,9.8515,9.8514,9.8515,90.0018,90.0019,89.9978,0.1718,1.2929
190,206,80.0,0.5625,0.4375,0.0,9.168,9.1675,9.1675,90.0042,90.0044,89.9963,0.1049,3.4606
191,194,80.0,0.4375,0.0,0.5625,6.6585,6.658,24.4931,90.0177,90.0102,119.9916,0.285,1.0948
192,12,80.0,0.0,0.4062,0.5938,24.765,6.5014,6.486,90.0003,105.241,90.0,0.0503,1.1844
193,33,80.0,0.2812,0.0,0.7188,10.9102,9.2914,9.9185,90.0019,89.9982,90.0004,0.2634,1.0477
194,12,80.0,0.4062,0.4375,0.1562,24.4582,6.141,5.954,89.9997,104.2464,90.0002,0.0884,2.3595
195,33,40.0,0.875,0.0,0.125,4.987,8.5565,9.1881,90.0055,90.0021,90.001,0.1347,3.4866
196,206,80.0,0.0,0.4375,0.5625,9.9024,9.9024,9.9023,90.0027,90.0023,89.9964,0.1203,1.2087
197,194,80.0,0.0625,0.4688,0.4688,6.7097,6.7093,24.6548,90.0017,89.9988,119.989,0.2787,0.857
198,227,40.0,0.5,0.375,0.125,5.9058,5.9049,13.9991,90.0167,90.0011,120.0031,0.2112,1.1142
199,206,80.0,0.0625,0.0625,0.875,10.1533,10.1533,10.1535,90.0008,90.0008,89.9989,0.0747,1.0168
200,33,80.0,0.0625,0.0625,0.875,11.1858,9.5098,10.1346,90.0002,89.9965,90.0002,0.2299,0.7962
201,12,80.0,0.0,0.5625,0.4375,24.8062,6.4139,6.3254,90.0002,104.8531,90.0001,0.0007,1.3406
202,167,30.0,0.5,0.25,0.25,5.0655,5.0652,13.6565,89.9928,90.0079,120.0012,0.2202,2.718
203,194,80.0,0.3125,0.125,0.5625,6.6978,6.6973,24.5872,90.0151,90.0046,119.9904,0.4808,0.7638
204,227,40.0,0.0,0.125,0.875,6.5058,6.5058,15.6882,89.9985,89.991,119.9911,0.3392,0.2717
205,194,80.0,0.9062,0.0938,0.0,6.1007,6.1003,23.4176,90.0099,90.0003,120.0058,0.2323,3.7366
206,33,40.0,0.0625,0.0625,0.875,5.5929,9.5098,10.1346,90.0002,89.9965,90.0002,0.2199,0.8826
207,206,80.0,0.3438,0.375,0.2812,9.509,9.5087,9.5087,90.0031,90.0032,89.9967,0.2063,1.9792
208,227,40.0,0.25,0.3125,0.4375,10.1024,5.956,14.8018,97.137,98.4229,31.9917,0.3876,1.0159
209,194,80.0,0.0,0.5312,0.4688,6.7305,6.7302,24.7019,89.9977,89.9978,119.9883,0.0423,1.3061
210,167,30.0,0.25,0.1667,0.5833,5.3002,5.2998,14.155,89.9962,90.0031,120.0011,0.2471,1.6494
211,194,80.0,0.3125,0.4062,0.2812,6.4898,6.4896,24.2252,90.0111,90.0044,119.994,0.2812,1.4181
212,12,80.0,0.0,0.7812,0.2188,24.8639,6.2915,6.101,90.0002,104.2773,90.0001,0.0306,1.6459
213,206,80.0,0.6875,0.0,0.3125,9.3927,9.3921,9.3925,90.0014,90.0024,89.9993,0.2635,2.7273
214,206,80.0,0.125,0.3125,0.5625,9.85,9.8499,9.85,90.0022,90.0021,89.9972,0.1583,1.3425
215,227,40.0,0.75,0.25,0.0,5.7572,5.7565,13.7173,90.0142,90.0001,120.0034,0.1621,2.2888
216,33,80.0,0.75,0.1562,0.0938,9.9978,8.5801,9.2093,90.0042,90.0021,90.0012,0.1504,3.2769
217,227,40.0,0.75,0.125,0.125,9.9901,5.7813,14.0288,89.4503,89.3687,30.234,0.3942,1.7944
218,194,80.0,0.4688,0.375,0.1562,6.3479,6.3477,23.947,90.0151,90.0039,119.9977,0.3358,1.8958
219,12,80.0,0.3125,0.375,0.3125,24.5144,6.2551,6.1334,89.9999,104.6359,90.0001,0.1284,1.8588
220,12,20.0,0.375,0.625,0.0,12.2659,3.0312,5.8004,89.9997,103.7911,90.0002,0.0413,2.6021
221,227,40.0,0.875,0.0,0.125,9.6432,5.6469,14.3422,99.4149,101.0447,31.371,0.3668,1.7883
222,194,80.0,0.3438,0.3125,0.3438,6.5261,6.5257,24.2821,90.0123,90.0054,119.9935,0.3269,1.546
223,167,30.0,0.6667,0.3333,0.0,4.8947,4.8944,13.293,89.9894,90.0117,120.0012,0.0406,4.2602
224,33,80.0,0.5938,0.3125,0.0938,10.0708,8.6424,9.269,90.0027,90.002,90.0013,0.1298,3.0475
225,194,80.0,0.3438,0.6562,0.0,6.2719,6.2719,23.8401,90.0156,90.0003,119.9989,0.2304,2.434
